Country,City,Year,AQI,PM2.5,PM10,Deforestation_Rate_%,Afforestation_Rate_%,Vehicles_Increase_%,Industries_Increase_%,Env_Budget_Million_USD,Population_Density_Per_SqKm,CO2_Emissions_MT,Green_Space_Ratio_%,Avg_Life_Expectancy_Index
brazil,salvador,2022.0,140.2,59.07,123.14,4.13,2.28,7.07,6.83,348.4,14091.05,189.87,28.61,76.35
morocco,rabat,2019.0,174.79,97.59,157.5,3.39,1.36,4.79,9.47,62.11,9982.81,170.64,30.72,77.3
germany,berlin,2019.0,25.7,17.64,20.46,0.22,4.13,1.4,3.24,531.68,1414.37,93.28,50.75,84.35
indonesia,makassar,2015.0,166.52,77.98,118.76,2.25,2.75,10.52,3.32,230.47,14762.81,165.49,31.24,74.36
ethiopia,addis ababa,2020.0,137.88,90.62,115.07,6.79,0.89,6.09,2.4,62.54,725.78,106.71,35.17,75.93
netherlands,the hague,2019.0,15.0,7.02,14.55,0.12,1.94,3.62,3.3,178.67000000000002,7570.68,117.99,38.12,86.27
uae,sharjah,2022.0,131.49,69.07,110.09,2.16,0.31,7.37,5.33,299.88,7315.43,151.0,31.45,76.83
australia,adelaide,2023.0,26.56,12.52,18.65,0.37,4.93,1.18,3.27,330.6,1249.38,55.88,53.18,83.89
ukraine,dnipro,2015.0,200.98,89.4,199.1,4.15,0.54,9.64,8.77,285.5,10139.19,219.97,27.33,72.17
germany,frankfurt,2014.0,27.68,12.87,27.85,0.08,4.37,6.01,3.35,457.29,1199.6,117.18,51.83,84.07
usa,phoenix,2023.0,15.0,9.41,10.89,0.69,4.8,4.2,4.82,701.45,8649.57,140.32,45.07,85.4
uk,liverpool,2018.0,15.0,7.98,13.42,0.38,3.61,2.24,1.71,185.66,5029.84,86.57,45.44,86.23
romania,bucharest,2022.0,106.29,60.52,91.12,1.79,2.87,6.5,4.05,266.08,1927.15,106.63,44.9,78.45
saudi arabia,riyadh,2021.0,123.34,51.42,113.09,2.11,0.81,5.91,8.27,116.61,7624.01,169.15,32.7,77.01
canada,calgary,2016.0,15.0,6.16,15.01,0.56,4.34,1.26,4.57,178.24,10573.91,88.5,41.88,85.93
canada,calgary,2023.0,21.44,11.92,17.53,2.23,4.48,2.63,4.12,380.2,5345.13,86.59,47.63,84.33
nigeria,ibadan,2014.0,248.49,162.97,223.32,3.68,1.49,19.2,9.81,160.18,18368.59,317.71,22.42,68.75
ghana,kumasi,2023.0,143.49,77.58,153.01,2.98,2.53,4.72,9.76,130.02,8015.78,191.89,36.59,75.69
ukraine,kharkiv,2023.0,196.35,87.34,212.85,3.47,0.59,12.33,6.32,178.2,9249.06,221.86,29.04,72.27
australia,sydney,2021.0,48.8,26.32,48.25,0.65,2.26,5.95,3.37,177.07999999999998,9625.82,123.12,36.5,83.5
poland,wroclaw,2018.0,136.26,62.71,136.62,2.66,2.47,4.17,8.94,352.5,7774.59,154.91,38.87,76.62
germany,hamburg,2019.0,39.18,22.47,34.03,0.67,2.74,5.23,1.13,330.07,5764.8,93.72,41.8,83.05
indonesia,medan,2022.0,63.29,41.31,55.1,1.55,1.91,6.34,3.35,148.73,4891.69,136.47,39.3,81.08
brazil,fortaleza,2023.0,79.25,37.95,66.81,1.15,2.9,10.75,6.31,356.77,6122.36,209.2,41.43,77.3
poland,gdansk,2019.0,93.31,45.38,76.33,1.8,2.38,5.39,3.09,393.73,10759.75,131.8,34.57,79.57
chile,antofagasta,2018.0,109.0,52.6,88.07,1.77,2.9,11.0,3.5,284.69,10550.37,190.2,36.38,78.3
china,shanghai,2020.0,253.44,169.96,220.5,4.9,0.74,7.57,13.73,77.0,9980.4,387.21,27.36,68.26
thailand,pattaya,2016.0,72.17,29.33,67.85,1.02,2.86,4.38,9.38,283.85,3735.46,182.0,43.82,80.76
japan,kyoto,2017.0,19.68,12.5,14.45,0.2,3.49,3.52,4.74,182.29,666.38,94.77,49.6,85.51
thailand,pattaya,2018.0,126.15,73.84,131.1,4.24,0.91,9.03,4.04,228.38,12208.34,161.36,26.28,77.05
mongolia,darkhan,2019.0,287.53,180.91,267.97,2.48,0.61,13.15,15.41,84.3,23674.69,344.0,15.67,66.0
spain,bilbao,2018.0,81.95,53.31,70.43,1.01,1.77,1.0,4.37,491.58,10051.59,87.33,34.25,80.52
spain,valencia,2020.0,15.0,10.28,15.92,1.09,4.48,5.73,4.93,176.62,3564.5,120.1,48.8,85.94
usa,phoenix,2020.0,15.0,8.37,16.34,0.35,1.63,5.19,2.45,176.62,656.68,99.95,43.87,85.88
netherlands,utrecht,2021.0,15.0,6.67,15.92,1.15,3.89,1.84,3.91,177.07999999999998,1469.62,90.93,49.04,86.31
russia,kazan,2016.0,129.37,78.25,114.91,3.03,1.51,7.755,7.2,273.71,4434.33,144.02,37.06,76.92
italy,turin,2021.0,92.63,63.63,73.93,0.17,2.37,5.73,2.63,471.86,8267.63,107.8,38.67,79.77
romania,iasi,2014.0,102.94,57.56,108.53,2.35,2.23,11.04,4.16,255.2,6372.91,173.8,37.96,78.65
mexico,tijuana,2021.0,168.32,115.27,179.55,3.96,1.68,11.64,3.02,344.25,7562.11,179.18,33.52,74.47
russia,moscow,2022.0,149.39,98.33,120.69,3.12,1.98,9.93,9.51,315.31,11662.05,226.62,31.16,75.67
vietnam,can tho,2017.0,85.57,39.1,63.95,3.2,0.57,8.05,6.19,366.1,870.88,170.66,37.64,80.03
sweden,stockholm,2021.0,17.08,10.03,18.51,1.09,3.1,4.22,5.5,177.07999999999998,9352.86,93.12,38.84,85.73
ethiopia,addis ababa,2017.0,93.25,65.24,82.48,6.02,0.77,6.29,3.7,20.0,1508.94,137.34,34.79,78.82
saudi arabia,dammam,2019.0,143.44,66.33,125.6,2.77,2.66,12.96,3.23,85.53,12798.71,205.43,32.42,75.61
indonesia,makassar,2016.0,169.79,94.69,169.11,3.67,2.69,13.54,7.53,323.36,7377.01,230.79,37.02,74.33
russia,kazan,2018.0,107.94,66.26,82.99,3.02,2.25,12.06,9.6,311.75,3451.85,234.09,40.28,78.43
australia,sydney,2017.0,30.78,19.21,30.99,0.17,3.68,7.0,3.53,629.8,7761.1,155.03,43.1,84.21
kenya,mombasa,2014.0,97.6,58.36,105.29,5.66,0.83,2.47,3.27,78.46,1115.31,71.31,35.73,78.65
spain,madrid,2023.0,15.0,7.12,11.23,0.74,2.48,6.78,0.59,175.24,1773.55,76.71,44.91,86.27
japan,tokyo,2014.0,70.75,38.04,61.85,0.45,1.61,2.52,0.72,476.98,8610.55,65.76,35.76,81.24
japan,osaka,2015.0,22.71,14.4,23.59,0.95,3.19,1.02,2.8,480.68,10822.69,96.82,37.81,84.45
indonesia,bandung,2021.0,155.93,68.63,116.88,2.49,0.42,9.7,6.75,347.79,10671.95,196.62,28.11,75.3
uk,manchester,2017.0,15.0,8.26,13.0,0.55,3.72,5.44,0.92,503.3,3425.12,82.09,47.17,85.01
uk,london,2018.0,20.69,13.32,21.74,1.05,1.36,3.54,2.44,487.18,5086.1,75.69,37.95,84.6
india,mumbai,2023.0,198.6,136.9,184.12,3.9,1.3,23.14,12.31,177.43,5977.33,352.29,34.01,77.3
egypt,cairo,2021.0,297.93,157.84,225.5,5.26,0.4,17.61,15.88,121.63,16352.27,380.42,19.6,65.38
egypt,luxor,2023.0,280.74,185.89,274.23,2.89,0.28,7.63,10.3,42.71,17108.01,379.8,20.83,66.37
india,mumbai,2022.0,160.51,87.87,159.66,2.99,0.8,13.14,7.14,161.0,10447.1,232.42,28.97,74.62
netherlands,rotterdam,2019.0,15.0,8.56,14.61,0.35,4.1,5.77,3.36,178.67000000000002,8807.82,124.89,43.13,86.39
australia,sydney,2017.0,15.0,8.14,15.41,0.97,2.46,2.26,2.07,182.29,11122.14,97.22,35.28,86.32
canada,calgary,2019.0,29.59,20.25,31.09,0.65,4.18,1.91,2.28,351.34,1938.74,57.69,49.95,83.73
romania,timisoara,2023.0,132.39,76.63,105.06,0.51,0.87,12.56,7.7,328.85,7309.27,240.89,34.79,76.83
sweden,uppsala,2018.0,42.39,27.41,45.3,0.63,2.06,2.65,3.8,763.86,4395.72,98.94,41.17,83.7
brazil,fortaleza,2023.0,158.14,99.73,155.87,3.17,2.5,10.55,7.33,313.02,12126.38,221.48,32.19,75.08
mexico,mexico city,2014.0,138.53,58.2,125.57,2.56,0.91,6.82,7.9,168.83,2360.0,156.93,37.8,76.1
mongolia,ulaanbaatar,2019.0,169.73,79.21,121.36,4.48,0.11,11.93,8.91,124.24,9433.03,224.48,26.42,73.93
uk,birmingham,2017.0,29.71,17.28,23.61,1.19,2.61,3.04,2.15,362.19,2304.67,100.07,44.35,83.74
poland,gdansk,2015.0,119.94,61.32,88.22,4.37,1.08,10.55,4.11,365.96,4720.94,149.06,34.14,77.74
south africa,port elizabeth,2015.0,109.25,57.8,103.34,2.65,2.93,5.92,9.82,155.02,2608.0,176.28,43.53,78.03
uae,dubai,2023.0,144.37,89.67,137.38,0.69,2.78,10.79,5.98,233.29,11633.27,205.3,36.03,75.84
romania,bucharest,2023.0,95.17,46.81,101.61,4.37,0.57,4.55,5.46,329.68,11170.7,142.69,26.16,79.31
thailand,khon kaen,2021.0,80.31,52.32,64.53,1.34,0.6,5.29,4.69,252.11,3904.94,128.31,36.56,80.15
ethiopia,harar,2018.0,108.82,72.76,118.08,2.13,0.25,5.2,3.49,65.44,3041.91,123.23,35.58,77.88
turkey,bursa,2014.0,56.49,33.9,44.81,1.21,0.86,8.24,4.4,204.87,3152.73,136.27,38.23,81.64
turkey,ankara,2021.0,200.34,86.81,162.47,3.32,1.94,8.93,3.26,62.43,14535.61,163.09,27.96,71.77
netherlands,utrecht,2019.0,15.0,7.01,13.51,0.87,4.39,4.84,1.74,178.67000000000002,2116.25,88.74,50.18,85.81
germany,berlin,2020.0,75.03,47.1,80.03,0.11,3.1,6.43,3.06,502.0,7121.31,132.77,42.07,81.0
ethiopia,addis ababa,2022.0,49.17,25.72,49.69,2.41,0.69,2.76,4.23,57.63,1266.34,107.9,35.09,81.84
philippines,cebu city,2021.0,139.25,62.87,130.99,0.85,1.97,13.45,5.53,171.08,11071.39,200.5,33.99,76.06
germany,munich,2023.0,45.82,25.88,38.07,1.2,1.63,6.35,3.04,414.25,7774.59,131.14,38.1,82.77
norway,kristiansand,2023.0,66.53,35.85,57.33,0.47,3.68,4.61,3.31,648.14,11120.25,111.48,39.44,81.86
iraq,mosul,2020.0,235.26,115.94,170.79,3.55,0.65,15.29,13.69,139.71,16761.25,334.77,21.64,69.6
china,shanghai,2020.0,326.97,172.72,299.71,2.07,0.72,7.57,12.28,160.9,7774.59,324.65999999999997,23.36,63.52
kenya,eldoret,2020.0,131.09,89.69,117.86,6.76,0.23,4.51,1.33,40.34,1753.65,90.69,32.19,76.34
turkey,ankara,2023.0,124.54,77.54,116.86,2.32,2.39,8.83,5.1,237.72,2475.52,143.14,42.38,77.17
poland,gdansk,2022.0,147.0,96.04,131.85,0.84,2.39,11.98,7.01,398.45,13101.36,202.89,33.23,76.0
iraq,erbil,2023.0,339.69,154.15,270.41,2.04,1.43,20.62,5.46,121.64,21863.83,318.45000000000005,20.37,62.6
mongolia,erdenet,2019.0,207.44,83.09,215.68,4.74,1.13,11.12,11.17,161.13,6323.24,233.52,32.33,71.49
italy,milan,2020.0,31.4,13.8,23.73,1.01,2.02,1.57,0.76,570.81,1559.6,66.29,43.49,84.05
chile,concepcion,2017.0,127.1,59.28,99.15,1.9,2.69,7.3,4.63,114.84,5540.25,164.86,40.62,76.76
philippines,cebu city,2022.0,193.85,94.49,177.63,1.85,2.91,13.68,6.2,307.72,12947.22,227.85,33.93,72.69
pakistan,faisalabad,2021.0,284.53,132.81,219.29,5.71,0.76,21.42,6.35,47.12,14930.15,281.79,21.65,66.13
thailand,pattaya,2020.0,145.06,65.65,118.92,0.55,0.88,6.08,7.74,239.35,11147.9,182.59,30.94,75.81
romania,timisoara,2017.0,111.2,61.19,94.96,4.02,2.13,8.82,4.45,360.95,8718.27,161.48,33.63,78.31
tanzania,dar es salaam,2015.0,74.15,34.45,53.32,3.77,0.38,3.38,3.22,20.66,2876.08,85.01,34.51,80.1
saudi arabia,jeddah,2017.0,130.22,55.44,93.76,3.75,1.82,4.66,9.23,160.05,1337.93,174.14,40.38,76.64
mexico,puebla,2015.0,78.9,54.64,59.33,0.9,0.62,7.13,4.62,129.52,9015.53,167.63,31.94,80.0
uae,dubai,2018.0,185.22,111.25,137.18,2.46,1.54,11.46,5.81,203.94,11759.06,185.27,30.39,73.06
france,toulouse,2017.0,15.0,9.02,14.94,2.23,2.23,3.73,2.43,182.29,7267.35,90.1,38.33,85.72
bangladesh,chittagong,2019.0,329.12,170.9,254.73,5.34,0.95,18.19,11.48,116.27,20874.21,316.86,16.63,63.29
australia,perth,2018.0,15.0,7.86,15.05,0.96,4.02,3.44,0.95,610.77,5534.46,77.42,45.56,85.22
mongolia,darkhan,2016.0,211.92,121.05,217.43,4.9,0.24,14.26,6.7,64.64,10270.09,247.76,25.54,71.0
vietnam,da nang,2021.0,101.04,40.58,78.69,3.13,2.79,9.77,8.6,274.11,6750.67,184.7,38.49,78.81
argentina,rosario,2016.0,157.05,80.94,159.26,2.76,0.51,11.85,5.76,73.39,10329.08,208.28,28.44,74.68
colombia,bogota,2021.0,112.12,48.33,109.37,3.01,2.68,13.4,7.41,271.22,4491.6,217.11,40.55,78.07
germany,berlin,2021.0,64.41,37.46,63.94,0.34,1.96,2.52,1.16,449.52,5167.69,89.16,42.22,81.61
bangladesh,khulna,2014.0,261.44,153.72,271.47,2.98,0.86,23.62,8.46,166.01,16816.24,351.31,22.78,67.9
canada,montreal,2023.0,66.76,37.24,55.06,1.08,1.5,1.94,0.77,714.11,8028.11,67.03,35.4,81.98
myanmar,yangon,2017.0,333.92,145.13,235.10000000000002,4.55,1.1,7.56,12.84,152.09,7774.59,322.05,23.134999999999998,63.04
peru,arequipa,2022.0,150.61,64.79,153.82,2.77,1.72,11.18,6.17,195.92,13785.62,202.77,28.61,75.35
nigeria,kano,2019.0,326.96,136.62,253.71,3.22,1.38,18.9,8.79,116.62,7774.59,333.1,23.37,63.44
mongolia,darkhan,2019.0,267.53,115.4,225.73,4.15,1.48,16.02,12.08,111.32,16057.75,298.52,20.29,67.39
saudi arabia,dammam,2022.0,123.34,72.04,86.88,1.45,2.58,7.37,7.55,339.61,4249.93,181.85,42.04,77.46
philippines,zamboanga,2016.0,118.37,60.73,116.66,2.23,1.95,10.17,4.55,77.62,2242.24,176.73,39.35,77.26
usa,new york,2015.0,96.04,65.45,85.88,0.42,1.46,3.53,3.7,581.08,11479.26,99.56,32.47,79.76
indonesia,bandung,2014.0,165.93,67.01,117.2,2.57,2.63,12.24,8.39,66.54,7601.38,232.09,37.73,74.07
india,delhi,2017.0,259.475,194.63,308.92,4.91,0.44,22.66,15.84,151.91,7774.59,317.67999999999995,23.975,77.3
bangladesh,khulna,2022.0,260.52,142.26,245.54,4.48,1.21,17.12,5.43,69.43,11329.65,348.45,27.83,67.77
tanzania,arusha,2020.0,87.77,40.33,79.01,3.19,0.23,3.36,1.58,29.61,1828.69,82.64,35.67,79.21
australia,sydney,2019.0,66.02,28.75,48.87,0.12,2.28,3.79,1.24,376.38,6480.29,97.14,40.24,81.35
south africa,pretoria,2020.0,131.46,60.29,110.46,1.43,0.55,9.87,5.52,351.38,10756.37,196.76,29.47,76.94
turkey,izmir,2019.0,133.45,0.06827,146.73,0.61,2.72,12.11,9.71,111.22,3758.63,234.28,43.8,76.33
india,bangalore,2014.0,233.61,149.73,233.02,3.35,1.03,10.37,14.58,141.86,16256.35,287.53,23.48,69.71
morocco,rabat,2015.0,134.3,64.33,112.58,1.92,2.8,8.92,4.73,296.33,9445.44,177.06,37.05,76.64
ukraine,dnipro,2014.0,79.27,54.47,58.34,1.22,2.24,4.56,4.4,370.94,3420.27,117.64,42.08,80.46
myanmar,naypyidaw,2018.0,312.52,194.69,301.37,5.06,1.27,21.4,11.26,113.2,20989.01,339.29,17.76,64.39
brazil,brasilia,2021.0,105.72,43.55,94.53,4.09,2.1,10.8,4.65,110.07,2678.78,183.2,39.55,78.17
france,toulouse,2021.0,71.9,29.29,51.26,1.17,1.36,5.79,4.9,177.07999999999998,6034.98,132.83,36.88,81.94
france,toulouse,2019.0,31.09,21.04,28.45,0.98,1.31,6.89,2.53,178.67000000000002,4277.01,123.98,38.69,84.62
france,nice,2020.0,61.86,26.91,56.35,0.83,1.7,6.52,3.1,494.07,1457.63,108.17,42.81,81.86
thailand,khon kaen,2015.0,118.17,57.47,91.26,2.77,2.43,9.99,6.09,167.12,2902.14,188.26,41.61,77.46
germany,cologne,2018.0,25.66,15.53,21.29,1.17,1.8,5.45,2.41,624.17,621.92,117.27,43.59,84.54
myanmar,mandalay,2017.0,228.15,134.96,236.34,2.73,0.8,20.24,9.83,55.96,7882.36,324.61,31.78,69.9
egypt,aswan,2021.0,309.63,135.84,282.54,4.42,0.16,22.74,5.5,44.23,15775.1,318.9,20.29,64.45
sweden,stockholm,2015.0,46.32,27.38,50.11,0.44,3.18,5.16,3.88,320.11,1716.01,97.49,47.37,82.55
argentina,buenos aires,2020.0,168.95,87.69,119.11,2.09,0.65,10.87,5.57,211.44,6716.25,199.15,33.15,74.16
vietnam,ho chi minh city,2018.0,131.68,71.17,123.62,0.64,2.68,13.97,6.84,331.13,4498.75,223.4,42.91,78.0
ukraine,kyiv,2014.0,130.36,54.52,96.7,3.51,2.09,0.00585,4.85,378.1,5769.3,128.05,36.99,77.07
india,mumbai,2014.0,237.58,151.41,212.79,1.95,1.26,19.06,10.53,121.3,16016.13,317.53,25.81,69.4
south africa,cape town,2014.0,178.17,111.23,140.11,3.68,1.06,5.22,7.48,189.44,12469.61,171.34,27.03,73.5
tanzania,dodoma,2020.0,68.62,41.76,64.71,3.05,0.51,2.85,3.11,76.11,1640.59,101.24,36.84,80.58
peru,cusco,2014.0,51.96,30.27,46.45,1.29,1.22,4.79,9.05,275.34,2738.26,177.27,39.63,82.09
canada,toronto,2018.0,24.54,14.04,19.02,0.44,3.45,1.13,3.4,512.82,10809.94,85.6,39.1,84.39
saudi arabia,riyadh,2022.0,181.87,95.58,129.47,4.33,0.7,9.97,9.49,290.18,8804.8,231.67,28.96,73.46
russia,kazan,2022.0,128.71,74.1,117.92,1.11,1.95,4.84,4.71,237.42,11148.23,184.925,33.6,76.89
india,bangalore,2023.0,238.77,135.71,227.71,4.5,1.34,22.56,5.46,43.85,5246.78,381.43,34.27,69.17
canada,montreal,2019.0,42.66,28.4,36.96,0.61,4.0,6.82,2.14,178.67000000000002,7261.63,134.01,44.13,84.0
tanzania,dar es salaam,2023.0,163.05,72.91,153.08,6.49,0.78,7.33,2.11,20.4,3778.8,119.97,32.07,74.17
thailand,phuket,2018.0,106.92,54.15,111.0,3.68,2.49,12.39,6.01,270.27,2928.11,195.6,40.85,78.41
romania,iasi,2015.0,108.0,48.82,76.48,3.34,1.97,9.16,8.01,354.03,1239.96,191.79,41.32,78.51
nigeria,abuja,2014.0,220.62,147.91,164.55,4.9,1.15,14.83,15.21,88.61,9219.35,334.34,29.33,70.47
france,lyon,2023.0,15.0,9.36,14.64,0.37,3.66,1.48,3.24,536.15,3255.43,66.88,47.36,85.07
poland,warsaw,2023.0,63.45,42.94,68.21,0.94,0.43,9.71,7.43,243.02,2024.51,198.51,38.33,81.26
iran,tabriz,2023.0,272.01,112.03,263.01,5.69,0.18,11.39,6.19,86.77,19255.79,235.85,15.59,67.04
chile,temuco,2014.0,190.21,109.75,133.6,0.62,2.63,13.85,6.34,112.96,14302.77,225.14,32.96,72.55
france,lyon,2023.0,67.68,46.64,47.58,1.04,1.41,4.79,1.3,662.24,7809.34,97.98,35.37,81.81
mongolia,darkhan,2020.0,171.3,83.73,128.15,5.74,0.2,10.13,7.26,88.28,8206.73,205.93,26.67,73.76
canada,toronto,2019.0,21.45,13.1,18.63,0.09,3.63,6.29,1.06,178.67000000000002,7154.07,111.5,43.64,85.58
south africa,pretoria,2019.0,125.64,56.91,136.08,3.75,0.94,6.57,3.32,191.14,12635.42,142.51,26.42,77.01
philippines,manila,2019.0,103.04,61.62,104.66,3.2,1.76,5.77,9.91,285.87,2627.32,193.02,39.46,78.7
germany,berlin,2021.0,48.76,30.32,38.86,0.15,2.94,2.86,3.98,632.03,10459.37,108.37,38.2,83.01
turkey,adana,2019.0,137.44,76.09,139.96,2.23,1.62,11.71,6.76,122.93,8374.31,203.72,35.56,76.08
italy,palermo,2016.0,30.58,18.57,22.9,0.37,2.91,2.0,4.63,444.4,1647.17,95.54,46.71,83.85
mongolia,ulaanbaatar,2018.0,225.18,116.55,178.95,1.62,0.62,18.24,12.75,139.17,7188.91,315.47,33.06,70.27
saudi arabia,jeddah,2017.0,131.2,77.9,91.99,3.93,0.77,10.43,3.43,215.53,13375.55,169.95,25.01,76.68
iraq,najaf,2014.0,223.68,154.02,164.36,2.81,1.2,13.42,11.67,97.53,19020.34,296.85,21.78,70.28
sweden,vasteras,2023.0,56.54,30.0,41.22,0.32,1.46,2.21,1.52,448.84,11252.59,103.38,32.81,82.13
philippines,cebu city,2015.0,134.63,74.55,102.6,2.23,0.84,13.43,3.82,363.52,5775.5,178.64,33.98,76.75
colombia,medellin,2017.0,210.75,142.21,187.47,3.51,0.48,12.58,5.37,309.05,14806.53,220.75,23.12,71.57
pakistan,faisalabad,2022.0,302.75,167.18,266.99,5.97,0.88,21.36,7.54,95.08,23904.32,336.52,23.48,65.01
japan,osaka,2016.0,81.4,39.5,88.59,0.93,2.8,4.32,1.61,573.88,9223.53,113.9,38.24,80.72
canada,ottawa,2020.0,15.0,6.72,10.89,0.69,4.63,5.36,0.55,564.03,8157.73,105.5,45.04,85.13
india,mumbai,2020.0,259.475,138.56,180.47,3.19,1.16,20.92,12.95,164.32,15331.16,340.35,24.97,69.72
argentina,cordoba,2014.0,61.17,29.12,49.08,2.71,1.89,11.43,3.28,263.73,1344.26,145.74,41.61,81.45
spain,seville,2016.0,74.21,36.55,74.22,0.88,3.61,6.73,2.26,178.24,9879.15,141.31,40.06,81.69
india,mumbai,2019.0,288.99,189.17,289.3,1.75,1.15,13.01,16.11,138.72,7774.59,344.06,13.45,66.01
ghana,cape coast,2015.0,118.12,53.96,87.77,2.77,0.4,8.3,4.94,398.94,9944.27,152.57,28.49,77.92
spain,bilbao,2014.0,15.0,9.36,12.64,0.59,4.86,6.52,4.78,185.495,3604.54,118.61,50.37,85.73
bangladesh,sylhet,2015.0,295.55,138.325,312.57,2.86,0.36,15.37,14.25,46.46,7774.59,371.23,23.39,65.39
brazil,brasilia,2023.0,112.97,59.79,83.23,2.18,1.35,11.04,5.87,256.79,5835.2,182.05,36.04,77.98
myanmar,bago,2021.0,245.48,142.24,246.36,4.01,0.64,20.56,9.71,93.29,12008.01,306.64,25.9,68.82
canada,calgary,2022.0,67.23,33.68,63.11,0.57,4.6,6.75,0.88,180.34,6655.23,90.93,46.59,82.26
kenya,eldoret,2022.0,88.2,53.59,90.77,4.25,0.15,3.97,4.07,40.69,1194.53,102.98,35.0,79.2
sweden,stockholm,2019.0,63.02,33.11,45.18,0.3,1.92,5.56,4.59,669.25,2628.73,110.18,42.84,82.14
argentina,mendoza,2017.0,125.45,56.93,128.18,1.59,0.51,7.56,5.91,186.75,5369.59,208.76,34.58,77.01
brazil,sao paulo,2021.0,92.59,44.06,91.22,2.31,2.78,10.78,6.16,304.74,805.02,197.32,45.24,79.44
spain,bilbao,2018.0,37.26,15.44,36.75,1.06,3.63,6.31,0.55,389.82,1510.65,98.57,48.32,83.3
philippines,zamboanga,2016.0,123.79,65.9,93.37,2.15,2.99,6.05,9.07,84.69,4084.52,186.75,42.73,76.92
colombia,bogota,2014.0,158.11,73.8,149.32,1.0,2.62,10.88,9.06,259.23,8519.25,231.3,38.34,74.98
mongolia,choibalsan,2017.0,193.9,110.36,180.67,1.8,3.85,12.87,10.63,140.44,11302.36,253.84,28.57,72.35
germany,frankfurt,2022.0,86.46,55.06,80.5,0.77,1.6,5.89,4.59,180.34,11957.26,0.15865,32.07,81.31
mongolia,choibalsan,2021.0,270.97,112.11,266.61,5.13,1.42,18.34,6.59,144.99,16541.05,267.8,22.6,67.23
romania,cluj-napoca,2020.0,206.87,105.73,145.55,4.15,0.87,12.98,9.89,307.14,14281.53,252.38,24.19,71.82
ukraine,kyiv,2020.0,66.83,30.63,54.29,0.5,1.13,9.19,4.12,144.2,3746.38,147.4,39.13,80.83
peru,trujillo,2018.0,89.22,54.02,74.63,1.41,2.32,12.22,6.13,127.31,4440.66,191.39,41.12,79.31
thailand,pattaya,2014.0,130.97,61.81,99.46,1.82,0.67,6.88,3.92,148.82,10963.97,153.8,29.22,76.57
iran,isfahan,2016.0,274.65,167.57,267.62,5.12,0.43,17.76,8.71,113.63,23805.8,318.63,23.4,66.92
romania,bucharest,2020.0,127.7,65.79,129.97,1.35,0.38,4.62,8.45,255.28,11804.51,174.3,28.0,77.0
italy,palermo,2023.0,71.28,43.12,70.76,0.74,5.0,2.72,2.28,442.9,9798.02,82.23,44.46,81.13
germany,berlin,2021.0,63.71,38.16,60.42,0.08,1.92,2.85,3.01,528.12,5668.95,98.11,42.22,81.81
norway,stavanger,2014.0,15.0,8.27,14.26,0.29,4.44,5.18,0.68,185.495,6541.71,93.28,46.5,86.3
iraq,baghdad,2019.0,272.72,184.09,193.73,3.36,1.02,11.44,10.21,83.16,7774.59,260.72,19.4,66.98
italy,rome,2017.0,46.66,30.49,47.52,0.00083,2.44,4.92,2.51,757.46,8877.43,95.64,37.61,83.4
uk,glasgow,2016.0,35.63,19.58,37.52,0.56,1.76,2.65,4.59,178.24,4570.35,105.37,40.16,84.33
japan,yokohama,2022.0,36.44,17.69,36.93,0.49,2.25,6.38,0.59,487.21,10894.11,112.35,35.35,83.55
philippines,quezon city,2023.0,102.2,52.44,85.85,1.3,0.83,4.22,4.0,196.9,13173.86,134.6,28.02,78.58
vietnam,hanoi,2018.0,95.63,61.19,71.73,2.51,2.55,4.93,8.48,102.21,7249.64,161.29,37.89,78.83
brazil,rio de janeiro,2015.0,193.51,100.92,200.5,3.76,2.11,9.15,6.22,151.12,14665.71,186.69,27.89,72.4
egypt,luxor,2014.0,258.53999999999996,158.84,285.43,3.68,1.4,7.35,16.43,78.14,7774.59,318.9,14.79,77.3
morocco,tangier,2018.0,140.05,62.27,127.47,2.89,1.74,5.17,8.6,190.85,11500.18,189.58,30.83,76.05
australia,sydney,2023.0,42.37,27.31,38.06,0.87,3.87,5.15,1.61,369.13,10116.57,108.16,40.62,82.91
ukraine,dnipro,2020.0,125.23,54.15,102.16,0.76,1.04,10.31,4.16,210.41,5454.75,151.67,36.9,77.07
chile,temuco,2019.0,154.55,78.02,139.94,0.51,0.65,5.94,9.43,81.7,10459.59,210.66,30.98,74.86
morocco,marrakech,2016.0,166.59,82.46,148.29,3.77,0.32,7.03,3.0,137.02,14290.97,127.3,22.89,74.17
romania,constanta,2020.0,85.13,55.39,71.45,2.45,1.92,10.21,3.08,110.35,5870.43,143.93,37.43,79.55
bangladesh,rajshahi,2020.0,262.4,117.79,278.58,1.86,0.38,23.01,5.165,88.06,12381.86,319.135,26.9,67.68
brazil,brasilia,2015.0,98.41,63.16,72.33,1.37,1.31,5.86,6.41,82.75,1064.55,158.23,41.49,78.6
usa,phoenix,2015.0,15.0,9.84,12.85,0.4,3.2,3.73,2.81,178.5,2425.81,83.74,46.79,85.68
netherlands,utrecht,2019.0,30.97,9.24,12.74,0.92,3.11,1.62,2.61,442.59,580.24,85.07,47.82,84.89
romania,timisoara,2021.0,97.85,56.26,74.75,2.76,1.43,9.16,5.43,260.87,1043.96,171.05,40.48,79.0
